about,週圍
abrupt,突然的；意外的
﻿abscissa,橫坐標
abuse,濫用
acceptance,驗收
accomplishments,成就
accused of,被指控犯罪
adequately,充分地
adjacent,鄰接的；前後相接的
adolescent,青少年
affair,事務
affiliate,子公司
agency,機構
agenda,會議;方案
aggregate,骨料
aggressive,侵略性
agony,極度痛苦
aims to,旨在
alkaline,鹼性
allegations,指控
altercation,爭吵
amenable,適合
amid,際
anecdote,軼事
angst,焦慮
annual,全年
annulus,環
anonymity,匿名
appointees,被任命者
ardently,熱烈地
are at stake,受到威脅
arena,競技場
ascertain,查明
assault,突(攻)擊
attendant,服務員
attorney,律師
authority,權威;當局
authorized to,授權
backlash,反彈
bail,保釋
balcony,陽台
banging,撞
banner,旗幟
barrage,彈幕
be accused of,被指控
be acting up,正在採取行動
be charged with,被控告
be sentenced to;(被)宣判；判決
be stabbed to,被刺傷
be subject to ,
bipartisan,兩黨
blame,責備
bloat,脹
bolster,加強
boosts,提升
booth,亭
bottom,底部
brass,黃銅
breadth,寬度
bright,光明
broker,掮客，代理人
browse,瀏覽
budget, 預算
bump,磕碰
burden,負擔;痲煩
buried,隱藏
button,按鍵
bystander,旁觀者
campaign,運動
capital,首都
carbide,碳化物
cease,停止
ceiling,天花板
chronic,慢性
cite,引用
civilization,文明
clerk,書記
cling,依附；黏著
coexist,共存
coil,捲、盤繞捲、盤繞
collaboration,合作
colonial,殖民地的
comfort care,舒適護理
commuter,通勤
compact,緊密的，結實的
compensate,補償
concise,簡潔
consecutive,連續
consent,同意
constituent,組分
constructive,建設性
consulting,諮詢
contests,競賽
contracts,合同
controversial,爭論的
convey,傳達
counselor,顧問
court,法庭
courtship,求愛
creepy,爬行
creepy,異樣
criteria,標準
criticized,批評
cub,新手;幼獸
cult,禮拜
cup,杯
debate,辯論
debating,辯論
decline,下降;婉拒
decompose,分解
defendant,被告
defer,延緩
delicate,精巧
delighted,欣喜的
denote,表示
deny,拒絕
depress,壓抑
desensitized to,對...敏感
desirable,合意
destructive,破壞的
detain,扣留
deteriorating,惡化
devastating,破壞性的
diameter,直徑
discrimination,歧視
dish,盤子
dismiss,對…不予考慮；徹底忘掉; 解僱; 讓…離開
disperse,分散
disperse,驅散
displace,替換
dispute,爭議
disrupted,破壞
dissociate,分離
distract,分散注意
diverted,改行
divide,分
dock,碼頭
domestic,國內
dot,點
downstairs,樓下
draft,草案
drift,漂移
duck,鴨子
ductility,延展性
dumbass,笨蛋
editorial,社論
eerie,怪異
elevate,提升
elicit,引出
embarks on,開始
enable,啟用
endorse,擁護
energized,通電
engage,從事
enormous,enormous
enormous,巨大
enthalpy,焓
escalator,自動樓梯
estimate,估計
eulogy,頌
exceed,超過
explicit,明確的
exploit,利用
extracurricular,課外
extrapolation,外推
fabricate,編造
fabrication,製造
falling-out,爭吵
far cry,相距甚遠
fence,籬笆
film,電影
firms,公司
flanked,兩側
fled with,逃跑
flee,逃跑
footage,鏡頭
foul,犯規
from time to time,有時;偶爾
furious,狂怒
good,合適的
good,好
grand,盛大
grieving,悲傷
grill,烤架
guarantee,保證
guidelines,方針
gut,腸道
headlines,新聞頭條
headset,耳機
hearings,聽證會
hilarious,歡鬧的
hold up,耽誤
imperative,迫切
implications,啟示
indicate,表明
indictment,起訴書
individual,個人
indubitably,無疑
infant,嬰兒
infer,推斷
inform,通知、告知
informal,非正式的，非正規的
in matter of,在...方面
in place of,代替
insisted on,堅持
intense,激烈
interdisciplinary,跨學科
interior,內部
internal,內部
is keen to,熱衷於
itemized,明細
janitor,門警
jury,陪審團
keen,敏銳
laptop,筆記本電腦
lawn,草坪
least,最少
legislation,立法
legislative,立法
lethal,致命
liberal,自由主義的
lingerie,女用貼身內衣褲
lower-middle class,中下階層
mainstays,支柱
malfunctioned,發生故障
manganese,錳
manifest,明白的
manifest,表現
marital,婚姻
meantime,與此同時
merger,合併
mineral,礦產
misconceptions,誤解
misconduct,處理不當
monogamy,一夫一妻制
mop,拖把
mortal,凡人
motivator,動力
muddy,渾
mutually,相互
nickel,鎳
nodular,球墨鑄鐵
nonpartisan,無黨派
nonsense,胡言亂語
notorious,臭名昭著
offhandedly,不在意地
omitted,省略
opponent,對手
orchestra,樂隊
ordinal,序數
ordinary,普通
outlets,網點
outrage,暴行
overlap,交疊
packing up,打包
parallel,並行
parentheses,括號
parse,解析
patios,庭院
paucity,缺乏
peddled to,兜售
peer,窺視
perfume,香水
perpendicular,垂直
persecution,迫害
pertain,屬於
pertain to,屬於
